CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
72|1952|7596|7442|AZK408|ETRURIA|CD|AZM286|631453|325808|28|2||||26|-83.5|814||P 1.8M|V|340.6|0|161|45|3.3|A|MXD|
72|1958|7470|7624|AZL294|MECHONGUE|BA|AZL294|581319|380858|25.5|2|C-0681|||30|-89|814||P 1.8M|H|111.8|0|59|45|6.5|A|MXD|
72|1959|7624|7470|AZK91|MIRAMAR (PDO. GRAL.|BA|AZK91|575020|381608|25.5|2|C-0681|||30|-89|811||P 2.4M|H|291.8|0|11|67|7.9|A|MXD|
72|1960|7470|7624|AZK640|VILLA CAÑAS|SF|AZL632|613629|340023|28|2||||31|-86.5|811||P 2.4M|V|269|0|100|37|8.2|A|MXD|
72|1961|7624|7470|AZL362|MARIA TERESA|SF|AZK640|615445|340041|28|2||||31|-86.5|811||P 2.4M|V|89|0|107|48|9.2|A|MXD|
72|1962|7596|7442|LSQ681|GRAN GUARDIA|FM|LSQ680|585303|255131|28|2||||27|-87|811||P 2.4M|V|302.9|0|76|70|3.8|A|MXD|
72|1963|7442|7596|LSQ680|PIRANE|FM|LSQ681|590620|254348|28|2||||27|-87|811||P 2.4M|V|122.9|0|82|39|2.4|A|MXD|
72|1964|7652|7498|LSQ681|GRAN GUARDIA|FM|LSQ680|585303|255131|28|2||||27|-87|811||P 2.4M|V|302.9|0|76|70|3.8|A|MXD|
72|1965|7498|7652|LSQ680|PIRANE|FM|LSQ681|590620|254348|28|2||||27|-87|811||P 2.4M|V|122.9|0|82|39|2.4|A|MXD|
72|1966|7708|7554|LSQ681|GRAN GUARDIA|FM|LSQ680|585303|255131|28|2||||27|-87|811||P 2.4M|V|302.9|0|76|70|3.8|A|MXD|
72|1967|7554|7708|LSQ680|PIRANE|FM|LSQ681|590620|254348|28|2||||27|-87|811||P 2.4M|V|122.9|0|82|39|2.4|A|MXD|
72|1968|7652|7498|AZM791|CHABAS|SF|AZK332|612136|331457|28|2||||30|-86|811||P 2,4|H|38|0|95|70|7|A|MXD|
72|1969|7498|7652|AZK332|CASILDA|SF|AZM791|611019|330250|28|2||||30|-86|814||P 1,8M|H|218|0|73|81|7.9|A|MXD|
72|1971|7554|7708|AZK332|CASILDA|SF|AZM791|611019|330250|28|2||||30|-86|814||P 1,8M|H|218|0|73|81|7.9|A|MXD|
72|1970|7708|7554|AZM791|CHABAS|SF|AZK332|612136|331457|28|2||||30|-86|811||P 2,4M|H|38|0|95|70|7|A|MXD|
72|1972|7526|7680|AZK362|CORONEL SUAREZ|BA|AZZ632|615600|372734|25.5|2||||27|-89.5|813||P 3,7M|H|359.9|0|235|70|8|A|MXD|
72|1974|7470|7624|AZK362|CORONEL SUAREZ|BA|AZZ632|615600|372734|25.5|2||||27|-89.5|813||P 3,7M|H|359.9|0|235|70|8|A|MXD|
72|1973|7680|7526|AZZ632|HUANGUELEN|BA|AZK362|615602|370334|25.5|2||||27|-89.5|813||P 3,7M|H|179.9|0|156|65|7.4|A|MXD|
72|1975|7624|7470|AZZ632|HUANGUELEN|BA|AZK362|615602|370334|25.5|2||||27|-89.5|813||P 3,7M|H|179.9|0|156|65|7.4|A|MXD|
